2024-02-06 15:48:34 status half-installed build-essential:amd64 12.8ubuntu1.1
2024-02-06 15:48:34 status unpacked build-essential:amd64 12.8ubuntu1.1
2024-02-06 15:48:34 install dctrl-tools:amd64 <none> 2.24-3
2024-02-06 15:48:34 status half-installed dctrl-tools:amd64 2.24-3
2024-02-06 15:48:34 status unpacked dctrl-tools:amd64 2.24-3
2024-02-06 15:48:34 install dkms:all <none> 2.8.1-5ubuntu2
2024-02-06 15:48:34 status half-installed dkms:all 2.8.1-5ubuntu2
2024-02-06 15:48:34 status unpacked dkms:all 2.8.1-5ubuntu2
2024-02-06 15:48:34 install libfakeroot:amd64 <none> 1.24-1
2024-02-06 15:48:34 status half-installed libfakeroot:amd64 1.24-1
2024-02-06 15:48:34 status unpacked libfakeroot:amd64 1.24-1
2024-02-06 15:48:34 install fakeroot:amd64 <none> 1.24-1
2024-02-06 15:48:34 status half-installed fakeroot:amd64 1.24-1
2024-02-06 15:48:34 status unpacked fakeroot:amd64 1.24-1
2024-02-06 15:48:34 install libalgorithm-diff-perl:all <none> 1.19.03-2
2024-02-06 15:48:34 status half-installed libalgorithm-diff-perl:all 1.19.03-2
2024-02-06 15:48:35 status unpacked libalgorithm-diff-perl:all 1.19.03-2
2024-02-06 15:48:35 install libalgorithm-diff-xs-perl:amd64 <none> 0.04-6
2024-02-06 15:48:35 status half-installed libalgorithm-diff-xs-perl:amd64 0.04-6
2024-02-06 15:48:35 status unpacked libalgorithm-diff-xs-perl:amd64 0.04-6
2024-02-06 15:48:35 install libalgorithm-merge-perl:all <none> 0.08-3
2024-02-06 15:48:35 status half-installed libalgorithm-merge-perl:all 0.08-3
2024-02-06 15:48:35 status unpacked libalgorithm-merge-perl:all 0.08-3
2024-02-06 15:48:35 install libfile-fcntllock-perl:amd64 <none> 0.22-3build4
2024-02-06 15:48:35 status half-installed libfile-fcntllock-perl:amd64 0.22-3build4
2024-02-06 15:48:35 status unpacked libfile-fcntllock-perl:amd64 0.22-3build4
2024-02-06 15:48:35 install manpages-dev:all <none> 5.05-1
2024-02-06 15:48:35 status half-installed manpages-dev:all 5.05-1
2024-02-06 15:48:35 status unpacked manpages-dev:all 5.05-1
2024-02-06 15:48:35 startup packages configure
2024-02-06 15:48:35 configure manpages-dev:all 5.05-1 <none>
2024-02-06 15:48:35 status unpacked manpages-dev:all 5.05-1
2024-02-06 15:48:35 status half-configured manpages-dev:all 5.05-1
2024-02-06 15:48:35 status installed manpages-dev:all 5.05-1
2024-02-06 15:48:35 configure libfile-fcntllock-perl:amd64 0.22-3build4 <none>
2024-02-06 15:48:35 status unpacked libfile-fcntllock-perl:amd64 0.22-3build4
2024-02-06 15:48:35 status half-configured libfile-fcntllock-perl:amd64 0.22-3build4
2024-02-06 15:48:35 status installed libfile-fcntllock-perl:amd64 0.22-3build4
2024-02-06 15:48:35 configure libalgorithm-diff-perl:all 1.19.03-2 <none>
2024-02-06 15:48:35 status unpacked libalgorithm-diff-perl:all 1.19.03-2
2024-02-06 15:48:35 status half-configured libalgorithm-diff-perl:all 1.19.03-2
2024-02-06 15:48:35 status installed libalgorithm-diff-perl:all 1.19.03-2
2024-02-06 15:48:35 configure binutils-common:amd64 2.34-6ubuntu1.8 <none>
2024-02-06 15:48:35 status unpacked binutils-common:amd64 2.34-6ubuntu1.8
2024-02-06 15:48:35 status half-configured binutils-common:amd64 2.34-6ubuntu1.8
2024-02-06 15:48:35 status installed binutils-common:amd64 2.34-6ubuntu1.8
2024-02-06 15:48:35 configure linux-libc-dev:amd64 5.4.0-170.188 <none>
2024-02-06 15:48:35 status unpacked linux-libc-dev:amd64 5.4.0-170.188
2024-02-06 15:48:35 status half-configured linux-libc-dev:amd64 5.4.0-170.188
2024-02-06 15:48:35 status installed linux-libc-dev:amd64 5.4.0-170.188
2024-02-06 15:48:35 configure libctf-nobfd0:amd64 2.34-6ubuntu1.8 <none>
2024-02-06 15:48:35 status unpacked libctf-nobfd0:amd64 2.34-6ubuntu1.8
2024-02-06 15:48:35 status half-configured libctf-nobfd0:amd64 2.34-6ubuntu1.8
2024-02-06 15:48:35 status installed libctf-nobfd0:amd64 2.34-6ubuntu1.8
2024-02-06 15:48:35 configure libgomp1:amd64 10.5.0-1ubuntu1~20.04 <none>
2024-02-06 15:48:35 status unpacked libgomp1:amd64 10.5.0-1ubuntu1~20.04
2024-02-06 15:48:35 status half-configured libgomp1:amd64 10.5.0-1ubuntu1~20.04
2024-02-06 15:48:35 status installed libgomp1:amd64 10.5.0-1ubuntu1~20.04
2024-02-06 15:48:35 configure libfakeroot:amd64 1.24-1 <none>
2024-02-06 15:48:35 status unpacked libfakeroot:amd64 1.24-1
2024-02-06 15:48:35 status half-configured libfakeroot:amd64 1.24-1
2024-02-06 15:48:35 status installed libfakeroot:amd64 1.24-1
2024-02-06 15:48:35 configure fakeroot:amd64 1.24-1 <none>
2024-02-06 15:48:35 status unpacked fakeroot:amd64 1.24-1
2024-02-06 15:48:35 status half-configured fakeroot:amd64 1.24-1
